feature,coefficient,abs_coefficient,selected
total_capital_rwa,10.497804575890237,10.497804575890237,1
tier1_rwa,-5.155366610142761,5.155366610142761,1
tier1_lev_gap,-4.929997491214751,4.929997491214751,1
equity_to_assets,-2.7167701118987564,2.7167701118987564,1
consumer_total_loans,-2.568685181568049,2.568685181568049,1
tangible_eq_assets,-2.2597833311829825,2.2597833311829825,1
provision_avg_loans,-1.6139749021782093,1.6139749021782093,1
op_income_assets,-1.347010411869636,1.347010411869636,1
provision_to_nii,1.148852757021701,1.148852757021701,1
leverage_ratio,-1.1267394795380998,1.1267394795380998,1
nim,1.1159071557031288,1.1159071557031288,1
efficiency_ratio,-1.0234904234366153,1.0234904234366153,1
qoq_asset_growth,1.0212483697820602,1.0212483697820602,1
cre_unused_commit,-1.0001863903494361,1.0001863903494361,1
roa,-0.9955359433385542,0.9955359433385542,1
qoq_deposit_growth,-0.9415194492726534,0.9415194492726534,1
core_dep_to_assets,-0.8741224857627993,0.8741224857627993,1
cre_total_capital,0.8596150543752161,0.8596150543752161,1
resi_re_total_loans,-0.8170612935028293,0.8170612935028293,1
coverage_ratio,-0.7603466269595381,0.7603466269595381,1
cre_total_loans,-0.7276688545183366,0.7276688545183366,1
loans_to_deposits,-0.5731844660219347,0.5731844660219347,1
construction_total_loans,0.5124738435069037,0.5124738435069037,1
deriv_notional_assets,0.45780004691572423,0.45780004691572423,1
nco_avg_loans,0.4402934914371656,0.4402934914371656,1
past_due_30_89,0.43480884480317583,0.43480884480317583,1
yoy_loan_growth,0.3893764103599902,0.3893764103599902,1
interest_exp_ratio,-0.35887877369566284,0.35887877369566284,1
qoq_loan_growth,-0.34128115196761055,0.34128115196761055,1
unused_commit_assets,0.332350873701517,0.332350873701517,1
qoq_provision_change,0.3284569437366611,0.3284569437366611,1
yoy_asset_growth,-0.3122912581953589,0.3122912581953589,1
brokered_dep_ratio,0.28292998359626825,0.28292998359626825,1
volatile_liab_ratio,-0.26310465550493034,0.26310465550493034,1
cc_unused_commit,0.19542339444847737,0.19542339444847737,1
fed_funds_purch_assets,-0.1879654724968105,0.1879654724968105,1
nonii_share,-0.18042871826555978,0.18042871826555978,1
qoq_equity_growth,-0.1779615392273923,0.1779615392273923,1
ci_total_loans,-0.16176651979561812,0.16176651979561812,1
cash_sec_to_assets,0.13149520278524535,0.13149520278524535,1
qoq_npl_change,-0.10319914491361235,0.10319914491361235,1
liquid_assets_ratio,0.07800069840571197,0.07800069840571197,1
insured_dep_ratio,0.07398312403385165,0.07398312403385165,1
oreo_assets,-0.07304882598744894,0.07304882598744894,1
npl_total_loans,-0.03249403205369372,0.03249403205369372,1
roe,-0.006521561180505739,0.006521561180505739,1
past_due_90plus,-0.00010230831876739381,0.00010230831876739381,1
nonaccrual_ratio,-9.284644712797357e-05,9.284644712797357e-05,1
