feature,mean_abs_shap,era
loans_to_deposits,0.09760426203449318,pre_df
volatile_liab_ratio,0.10232563227281442,dodd_frank
qoq_equity_growth,0.10408944255762208,pre_df
yoy_loan_growth,0.11221714409201343,pre_df
ci_total_loans,0.11835513208969137,pre_df
cash_sec_to_assets,0.1328804352749863,pre_df
tangible_eq_assets,0.13376743597133667,pre_df
liquid_assets_ratio,0.14121466906074376,pre_df
leverage_ratio,0.14768263930132552,pre_df
cre_total_capital,0.1544249460368869,pre_df
roa,0.16223721680706066,pre_df
past_due_30_89,0.18606965714904186,pre_df
consumer_total_loans,0.18639639591224405,pre_df
efficiency_ratio,0.21633269276386705,pre_df
insured_dep_ratio,0.2326606998752579,dodd_frank
unused_commit_assets,0.23365686109003145,pre_df
interest_exp_ratio,0.23918361556754347,pre_df
nco_avg_loans,0.25759825955707005,pre_df
equity_to_assets,0.2807158611274939,pre_df
cre_unused_commit,0.2878129817676235,pre_df
